Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,280.1848449707031,281.95001220703125,286.45001220703125,280.8999938964844,284.1000061035156,287492
2023-01-03,281.8244934082031,283.6000061035156,285.0,281.1000061035156,283.3999938964844,280865
2023-01-04,281.4767150878906,283.25,285.0,281.5,284.79998779296875,678732
2023-01-05,285.3025817871094,287.1000061035156,288.3500061035156,283.1000061035156,284.70001220703125,745831
2023-01-06,283.0666809082031,284.8500061035156,288.0,282.70001220703125,288.0,1142991
2023-01-09,285.45166015625,287.25,289.75,282.3999938964844,285.75,938448
2023-01-10,286.6441345214844,288.45001220703125,290.0,283.3999938964844,288.6499938964844,410817
2023-01-11,281.7747802734375,283.54998779296875,289.6499938964844,281.5,286.0,379315
2023-01-12,281.2282409667969,283.0,286.79998779296875,281.45001220703125,285.0,431015
2023-01-13,285.8491516113281,287.6499938964844,288.8500061035156,281.0,283.0,460522
2023-01-16,280.8804626464844,282.6499938964844,287.0,282.0,287.0,230558
2023-01-17,281.7251281738281,283.5,285.95001220703125,281.0,281.0,314056
2023-01-18,282.27166748046875,284.04998779296875,285.0,282.0,283.5,279074
2023-01-19,284.1597900390625,285.95001220703125,288.6000061035156,283.0,284.0,774965
2023-01-20,282.52008056640625,284.29998779296875,288.45001220703125,283.0,285.95001220703125,568122
2023-01-23,281.6754455566406,283.45001220703125,285.79998779296875,281.1000061035156,285.70001220703125,307160
2023-01-24,280.1351318359375,281.8999938964844,285.95001220703125,281.0,283.29998779296875,316481
2023-01-25,276.1601867675781,277.8999938964844,282.8500061035156,275.5,281.0,928275
2023-01-27,278.8929748535156,280.6499938964844,282.70001220703125,275.3500061035156,277.8500061035156,567891
2023-01-30,275.862060546875,277.6000061035156,283.0,275.54998779296875,280.25,765847
2023-01-31,279.8866882324219,281.6499938964844,284.0,274.0,278.1000061035156,681883
2023-02-01,276.2595520019531,278.0,283.5,277.0,281.6499938964844,490299
2023-02-02,276.45831298828125,278.20001220703125,281.0,274.79998779296875,278.0,781140
2023-02-03,275.56390380859375,277.29998779296875,282.6000061035156,274.8999938964844,277.29998779296875,618632
2023-02-06,275.26580810546875,277.0,279.45001220703125,275.54998779296875,278.70001220703125,189520
2023-02-07,276.2595520019531,278.0,280.0,274.54998779296875,277.75,583483
2023-02-08,278.24700927734375,280.0,281.1499938964844,276.6499938964844,277.5,912671
2023-02-09,274.8683166503906,276.6000061035156,281.3500061035156,275.6000061035156,279.79998779296875,544780
2023-02-10,280.9798278808594,282.75,285.0,276.6499938964844,277.5,539987
2023-02-13,270.5455322265625,272.25,278.0,270.3500061035156,277.79998779296875,712187
2023-02-14,263.4403076171875,265.1000061035156,274.54998779296875,261.6499938964844,273.1499938964844,998627
2023-02-15,268.0115051269531,269.70001220703125,274.0,267.25,267.25,666229
2023-02-16,269.5021667480469,271.20001220703125,277.5,268.0,271.8999938964844,839910
2023-02-17,267.0177917480469,268.70001220703125,272.0,267.5,270.0,469769
2023-02-20,276.20989990234375,277.95001220703125,279.5,269.5,269.8500061035156,788487
2023-02-21,277.99859619140625,279.75,281.0,273.6000061035156,277.0,362712
2023-02-22,271.8871154785156,273.6000061035156,279.75,271.8500061035156,276.1000061035156,403951
2023-02-23,270.89337158203125,272.6000061035156,278.8999938964844,269.3500061035156,275.0,554863
2023-02-24,269.2536926269531,270.95001220703125,276.20001220703125,270.04998779296875,274.8500061035156,270103
2023-02-27,264.0365905761719,265.70001220703125,273.3999938964844,262.6499938964844,270.95001220703125,591691
2023-02-28,265.57684326171875,267.25,271.1000061035156,262.3500061035156,267.0,827201
2023-03-01,267.3158874511719,269.0,270.0,265.0,268.6000061035156,477009
2023-03-02,272.33428955078125,274.04998779296875,277.3999938964844,265.0,268.79998779296875,680601
2023-03-03,274.8683166503906,276.6000061035156,279.0,272.25,276.0,446477
2023-03-06,279.0420227050781,280.79998779296875,282.0,273.6499938964844,277.95001220703125,730210
2023-03-08,269.8002624511719,271.5,280.6000061035156,267.6000061035156,279.8999938964844,1351430
2023-03-09,272.43365478515625,274.1499938964844,275.20001220703125,272.25,272.8999938964844,359145
2023-03-10,269.2536926269531,270.95001220703125,275.20001220703125,268.20001220703125,272.6499938964844,764223
2023-03-13,266.0240478515625,267.70001220703125,271.8999938964844,265.5,271.1499938964844,670945
2023-03-14,260.8565673828125,262.5,268.5,259.45001220703125,267.6499938964844,698625
2023-03-15,266.2724609375,267.95001220703125,272.0,263.8999938964844,263.8999938964844,818025
2023-03-16,263.6390380859375,265.29998779296875,268.20001220703125,264.0,266.04998779296875,1018980
2023-03-17,261.30377197265625,262.95001220703125,266.6000061035156,261.29998779296875,265.95001220703125,379813
2023-03-20,258.86907958984375,260.5,263.8999938964844,256.1000061035156,262.8999938964844,631138
2023-03-21,252.2110595703125,253.8000030517578,261.79998779296875,251.25,260.95001220703125,1041480
2023-03-22,251.76388549804688,253.35000610351562,256.0,250.5500030517578,254.89999389648438,588574
2023-03-23,249.03111267089844,250.60000610351562,254.25,249.5500030517578,253.3000030517578,551389
2023-03-24,253.25448608398438,254.85000610351562,259.0,245.5,251.4499969482422,1140398
2023-03-27,253.55259704589844,255.14999389648438,261.20001220703125,251.10000610351562,252.25,1321291
2023-03-28,257.527587890625,259.1499938964844,263.5,255.14999389648438,255.14999389648438,1043211
2023-03-29,260.5087890625,262.1499938964844,264.70001220703125,257.6499938964844,258.5,452340
2023-03-31,258.2728576660156,259.8999938964844,266.95001220703125,258.29998779296875,262.0,827210
