Date,Equity
2025-01-01,100000.0
2025-01-02,100000.0
2025-01-03,100000.0
2025-01-06,100000.0
2025-01-07,100000.0
2025-01-08,100000.0
2025-01-09,100000.0
2025-01-10,100000.0
2025-01-13,100000.0
2025-01-14,100000.0
2025-01-15,100000.0
2025-01-16,100000.0
2025-01-17,100000.0
2025-01-20,100000.0
2025-01-21,100000.0
2025-01-22,100000.0
2025-01-23,100000.0
2025-01-24,100000.0
2025-01-27,100000.0
2025-01-28,100000.0
2025-01-29,100000.0
2025-01-30,100000.0
2025-01-31,100000.0
2025-02-01,100000.0
2025-02-03,99595.45776367188
2025-02-04,99871.00732421875
2025-02-05,99914.8076171875
2025-02-06,99741.70776367188
2025-02-07,99675.10791015625
2025-02-10,99646.45776367188
2025-02-11,99432.25732421875
2025-02-12,99374.65747070312
2025-02-13,99599.29888916016
2025-02-14,99204.0998840332
2025-02-17,99152.14907836914
2025-02-18,99242.54891967773
2025-02-19,99311.94924926758
2025-02-20,99287.69940185547
2025-02-21,99301.0491027832
2025-02-24,99255.4987487793
2025-02-25,99319.84957885742
2025-02-27,99453.2995300293
2025-02-28,99113.19937133789
2025-03-03,99018.29946899414
2025-03-04,99196.74911499023
2025-03-05,99345.99862670898
2025-03-06,99384.6491394043
2025-03-07,99458.09979248047
2025-03-10,99610.19912719727
2025-03-11,99476.89947509766
2025-03-12,99789.54940795898
2025-03-13,99953.59963989258
2025-03-17,100076.09970092773
2025-03-18,100365.94927978516
2025-03-19,100396.99926757812
2025-03-20,100412.59924316406
2025-03-21,100477.49896240234
2025-03-24,100757.81140136719
2025-03-25,100896.56170654297
2025-03-26,100381.11154174805
2025-03-27,100480.31158447266
2025-03-28,101134.45971679688
2025-04-01,100512.41040039062
2025-04-02,100408.86047363281
2025-04-03,100049.21081542969
2025-04-04,99704.01080322266
2025-04-07,97715.41488647461
2025-04-08,98544.11441040039
2025-04-09,98705.31503295898
2025-04-11,98899.56524658203
2025-04-15,99462.31527709961
2025-04-16,99303.64889526367
2025-04-17,99076.31198120117
2025-04-21,100251.17630004883
2025-04-22,101420.07705688477
2025-04-23,101117.37707519531
2025-04-24,101339.8212890625
2025-04-25,99891.52294921875
2025-04-28,100524.98986816406
2025-04-29,101105.0888671875
2025-04-30,100018.22290039062
2025-05-02,100067.75439453125
2025-05-05,100196.72256469727
2025-05-06,100438.35534667969
2025-05-07,100140.22201538086
2025-05-08,100334.7551574707
2025-05-09,98904.88952636719
2025-05-12,101429.05581665039
2025-05-13,101905.18936157227
2025-05-14,101599.49151611328
2025-05-15,101641.62380981445
2025-05-16,102641.69174194336
2025-05-19,102814.55715942383
2025-05-20,102237.22454833984
2025-05-21,102185.89111328125
2025-05-22,101275.07202148438
2025-05-23,101945.93844604492
2025-05-26,102942.99826049805
2025-05-27,102197.99890136719
2025-05-28,102180.49810791016
2025-05-29,102205.79858398438
2025-05-30,102602.09927368164
2025-06-02,102929.19873046875
2025-06-03,102936.81616210938
2025-06-04,102932.41674804688
2025-06-05,103479.91613769531
2025-06-06,104180.80395507812
2025-06-09,105127.89770507812
2025-06-10,105107.64764404297
2025-06-11,104124.7476196289
2025-06-12,103092.39770507812
2025-06-13,101463.37200927734
2025-06-16,102496.83447265625
2025-06-17,102800.7353515625
2025-06-18,101737.63415527344
