Symbol,EntryDate,EntryPrice,CurrentPrice,Shares,UnrealizedPnL
ADANIPOWER,2026-04-13,181.3500061035156,242.19000244140625,55,3346.1997985839857
NMDC,2026-04-16,87.16000366210938,87.38999938964844,114,26.219512939453125
SAIL,2026-04-16,171.32000732421875,203.1699981689453,58,1847.2994689941406
BHEL,2026-04-20,325.6300048828125,413.0499877929687,30,2622.5994873046857
NAM-INDIA,2026-04-21,1055.3499755859375,1075.699951171875,9,183.1497802734375
ADANIPORTS,2026-04-21,1594.0999755859375,1796.4000244140625,6,1213.80029296875
CGPOWER,2026-04-22,824.3499755859375,910.9500122070312,12,1039.200439453125
JSWSTEEL,2026-04-22,1263.4000244140625,1270.300048828125,7,48.3001708984375
BAJAJ-AUTO,2026-05-05,9906.58203125,10388.5,1,481.91796875
POLYCAB,2026-05-11,9065.5,9426.0,1,360.5
MOTHERSON,2026-05-22,136.17999267578125,140.0800018310547,73,284.70066833496094
