Symbol,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,HoldingDays
SRF,2025-02-04,2025-04-08,2960.8974609375,2751.458984375,3,-628.3154296875,63
JSWSTEEL,2025-03-25,2025-04-08,1058.8486328125,952.0363159179688,9,-961.3108520507812,14
KOTAKBANK,2025-02-14,2025-06-04,390.03033447265625,408.7886962890625,25,468.95904541015625,110
BAJAJFINSV,2025-04-01,2025-06-09,1936.1566162109375,2016.4176025390625,5,401.304931640625,69
EICHERMOT,2025-04-17,2025-06-16,5605.81201171875,5296.32470703125,1,-309.4873046875,60
HDFCLIFE,2025-05-23,2025-07-21,778.2488403320312,752.2999877929688,12,-311.38623046875,59
BSE,2025-04-22,2025-08-04,2073.958740234375,2486.60009765625,4,1650.5654296875,104
DIVISLAB,2025-05-27,2025-08-04,6667.6396484375,6489.5,1,-178.1396484375,69
ICICIBANK,2025-04-21,2025-08-14,1399.0052490234375,1427.300048828125,7,198.0635986328125,115
BEL,2025-05-15,2025-08-21,348.1070556640625,372.6137390136719,28,686.1871337890625,98
HDFCBANK,2025-04-17,2025-08-28,940.6353759765624,957.7999877929688,10,171.64611816406364,133
MAXHEALTH,2025-06-17,2025-08-28,1225.385986328125,1160.199951171875,8,-521.48828125,72
INDIGO,2025-04-01,2025-09-01,5019.517578125,5670.0,1,650.482421875,153
GODFRYPHLP,2025-04-25,2025-09-30,2644.18505859375,3365.02001953125,3,2162.5048828125,158
SAIL,2025-11-06,2025-11-26,137.91000366210938,136.9199981689453,72,-71.2803955078125,20
NAM-INDIA,2025-06-10,2025-12-03,761.93896484375,820.5999755859375,13,762.5931396484375,176
ADANIPORTS,2025-10-23,2025-12-31,1453.0999755859375,1469.800048828125,6,100.200439453125,69
RELIANCE,2025-11-27,2026-01-09,1563.4000244140625,1475.300048828125,6,-528.599853515625,43
PAYTM,2025-07-23,2026-01-13,1071.1500244140625,1281.5999755859375,9,1894.049560546875,174
M&M,2025-08-18,2026-01-21,3383.10009765625,3553.300048828125,2,340.39990234375,156
TVSMOTOR,2025-06-27,2026-01-22,2929.06201171875,3557.6650390625,3,1885.80908203125,209
NMDC,2026-01-01,2026-01-22,81.19186401367188,75.92205810546875,123,-648.1861267089844,21
TITAN,2025-11-03,2026-01-30,3724.5,3977.39990234375,2,505.7998046875,88
BANKBARODA,2025-10-29,2026-02-03,274.6000061035156,285.3999938964844,36,388.799560546875,97
ADANIPORTS,2026-02-06,2026-03-04,1550.699951171875,1434.4000244140625,6,-697.799560546875,26
LT,2026-02-12,2026-03-04,4145.41015625,3845.044189453125,2,-600.73193359375,20
SHRIRAMFIN,2025-11-11,2026-03-10,832.2999877929688,1062.9000244140625,12,2767.200439453125,119
SAIL,2026-01-15,2026-03-10,152.44000244140625,149.83999633789062,65,-169.00039672851562,54
AXISBANK,2026-01-16,2026-03-10,1294.199951171875,1314.699951171875,7,143.5,53
POLYCAB,2026-02-24,2026-03-12,8120.5,7455.0,1,-665.5,16
FEDERALBNK,2025-10-30,2026-03-13,234.80999755859375,263.04998779296875,42,1186.07958984375,134
TITAN,2026-02-11,2026-03-17,4249.10009765625,4090.5,2,-317.2001953125,34
HINDALCO,2025-10-01,2026-03-20,765.9500122070312,874.25,13,1407.8998413085938,170
VEDL,2025-12-03,2026-03-24,524.0479736328125,640.896484375,19,2220.1217041015625,111
AUBANK,2026-04-23,2026-05-21,1056.25,958.7000122070312,9,-877.9498901367188,28
