Symbol,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL
TECHM,2024-01-16,2024-04-18,1248.71240234375,1115.60400390625,8,-1064.8671875
WIPRO,2024-01-16,2024-04-22,226.8358917236328,216.53955078125,44,-453.03900146484375
TCS,2024-01-16,2024-06-03,3548.007568359375,3451.01953125,2,-193.97607421875
ADANIENT,2024-06-04,2024-06-05,2938.643798828125,3112.58935546875,2,347.89111328125
BANKBARODA,2024-01-31,2024-08-06,232.8511199951172,231.52113342285156,42,-55.85943603515625
TATASTEEL,2024-02-06,2024-08-14,138.5618438720703,142.8389129638672,65,278.0094909667969
RELIANCE,2024-01-12,2024-10-04,1360.6541748046875,1381.0093994140625,7,142.486572265625
LICHSGFIN,2024-06-12,2024-10-08,693.7470092773438,604.602783203125,4,-356.576904296875
AXISBANK,2024-05-02,2024-10-18,1147.982177734375,1195.8280029296875,7,334.9207763671875
IOC,2024-01-15,2024-10-24,123.9206314086914,143.75119018554688,80,1586.4447021484375
DRREDDY,2024-08-22,2024-10-31,1385.0260009765625,1266.169677734375,1,-118.8563232421875
IEX,2024-08-07,2024-11-05,189.37820434570312,165.71908569335938,51,-1206.6150512695312
BPCL,2024-01-23,2024-11-18,206.4863739013672,266.185791015625,48,2865.572021484375
SIEMENS,2024-01-11,2024-12-31,2423.602783203125,3823.19189453125,4,5598.3564453125
JSWSTEEL,2024-04-29,2024-12-31,886.4007568359375,899.0789184570312,11,139.45977783203125
NAUKRI,2024-01-11,2025-01-28,1024.3643798828125,1420.4893798828125,9,3565.125
FEDERALBNK,2024-05-03,2025-01-29,163.9779052734375,185.05972290039065,4,84.32727050781261
HCLTECH,2024-10-15,2025-02-04,1743.613037109375,1642.4451904296875,1,-101.1678466796875
APOLLOHOSP,2024-01-12,2025-02-12,5758.3984375,6348.98046875,1,590.58203125
PERSISTENT,2024-08-19,2025-03-03,4828.021484375,5259.45263671875,1,431.43115234375
TECHM,2024-08-20,2025-03-03,1568.713623046875,1451.06591796875,2,-235.29541015625
BSE,2024-10-10,2025-03-11,1400.9647216796875,1265.9239501953125,7,-945.285400390625
DIVISLAB,2024-06-10,2025-04-08,4488.14208984375,5362.88037109375,1,874.73828125
JSWSTEEL,2025-03-25,2025-04-08,1058.8486328125,952.0363159179688,9,-961.3108520507812
KOTAKBANK,2025-02-14,2025-07-29,390.03033447265625,394.5400085449219,25,112.74185180664062
FEDERALBNK,2025-07-03,2025-08-05,215.6843414306641,194.8603973388672,5,-104.11972045898452
DIVISLAB,2025-05-27,2025-08-12,6667.6396484375,5961.0,1,-706.6396484375
SRF,2025-02-04,2025-09-29,2960.8974609375,2792.8447265625,3,-504.158203125
BSE,2025-04-22,2025-09-29,2073.958740234375,2097.39990234375,4,93.7646484375
ICICIBANK,2025-04-21,2025-09-30,1399.0052490234375,1348.0,7,-357.0367431640625
INDIGO,2025-04-01,2025-12-08,5019.517578125,4923.5,1,-96.017578125
GODFRYPHLP,2025-04-25,2025-12-08,2644.18505859375,2645.800048828125,3,4.844970703125
COFORGE,2025-12-08,2025-12-29,1946.6488037109375,1679.28759765625,5,-1336.8060302734375
HDFCBANK,2025-04-17,2026-01-08,940.6353759765624,946.7000122070312,10,60.64636230468864
HDFCLIFE,2025-05-23,2026-01-19,778.2488403320312,736.7999877929688,12,-497.38623046875
BAJAJFINSV,2025-04-01,2026-01-21,1936.1566162109375,1959.9000244140625,5,118.717041015625
ADANIPORTS,2025-10-23,2026-01-21,1453.0999755859375,1378.5999755859375,6,-447.0
M&M,2025-08-18,2026-01-30,3383.10009765625,3431.800048828125,2,97.39990234375
LT,2026-02-12,2026-03-05,4145.41015625,3999.634033203125,2,-291.55224609375
NAM-INDIA,2025-06-10,2026-03-10,761.9390258789062,877.0999755859375,13,1497.0923461914062
PNB,2026-01-08,2026-03-10,122.80999755859376,117.52999877929688,8,-42.239990234375114
ADANIPORTS,2026-02-06,2026-03-13,1550.699951171875,1363.199951171875,6,-1125.0
TVSMOTOR,2025-08-06,2026-03-16,2942.415283203125,3363.045166015625,3,1261.8896484375
POLYCAB,2026-03-09,2026-03-17,8228.5,7166.5,1,-1062.0
BANKBARODA,2025-10-29,2026-03-24,274.6000061035156,270.5,31,-127.10018920898438
MOTHERSON,2025-12-08,2026-03-24,114.94329071044922,110.78618621826172,27,-112.2418212890625
NMDC,2025-12-29,2026-03-24,78.4550552368164,76.7699966430664,3,-5.05517578125
EICHERMOT,2025-04-17,2026-04-01,5605.81201171875,6825.5,1,1219.68798828125
VEDL,2025-12-29,2026-05-01,583.357421875,271.54998779296875,14,-4365.3040771484375
